,iso,year,gdpPerc
181,JAM,1850,0.03061345946
182,JOR,1850,0.02352959043
183,JPN,1850,2.487703458
184,KHM,1850,0.1111112328
185,KOR,1850,0.4734628202
186,LAO,1850,0.03179566975
187,LBN,1850,0.0821117696
188,LBY,1850,0.03201717617
189,LKA,1850,0.1316750346
190,MAR,1850,0.2020310913
191,MDG,1850,0.1189165118
192,MEX,1850,0.6973322001
193,MMR,1850,0.1950398962
194,MNG,1850,0.03216273364
195,MOZ,1850,0.1538668844
196,MYS,1850,0.02628971134
197,NIC,1850,0.01696952569
198,NLD,1850,0.958420536
199,NOR,1850,0.3097051568
200,NPL,1850,0.2158732523
201,NZL,1850,0.01230290612
202,OMN,1850,0.01493454017
203,PAN,1850,0.00763628656
204,PER,1850,0.1449660892
205,PHL,1850,0.1791668629
206,POL,1850,1.133187215
207,PRI,1850,0.02799971739
208,PRK,1850,0.2204665113
209,PRT,1850,0.4419438842
210,PRY,1850,0.01979777997
211,PSE,1850,0.0185413737
212,ROU,1850,0.6973459787
213,RUS,1850,6.428658241
214,SAU,1850,0.3989157461
215,SDN,1850,0.2933700181
216,SGP,1850,0.00277778082
217,SLV,1850,0.02070282134
218,SWE,1850,0.4564306378
219,SYR,1850,0.06379636618
220,THA,1850,0.2594248873
221,TTO,1850,0.00452520685
222,TUN,1850,0.0705344746
223,TUR,1850,1.089969195
224,TWN,1850,0.1091271037
225,URY,1850,0.02321344091
226,USA,1850,4.830767092
227,VEN,1850,0.2041291802
228,VNM,1850,0.4433139776
229,YEM,1850,0.1178427217
230,YUG,1850,0.523009484
231,ZAF,1850,0.2417799455
232,AFG,1900,0.1197981179
233,ALB,1900,0.02861671145
234,ARG,1900,0.6944516214
235,AUS,1900,0.7991870568
236,AUT,1900,0.874411655
237,BEL,1900,1.204872505
238,BGR,1900,0.2458182312
239,BOL,1900,0.07666653712
240,BRA,1900,0.5969394447
241,CAN,1900,0.7872017874
242,CHE,1900,1.330580404
243,CHL,1900,0.2559896966
244,CHN,1900,9.093598725
245,COL,1900,0.1268484953
246,CRI,1900,0.009423212382
247,CSK,1900,1.153233667
248,CUB,1900,0.0526050038
249,DEU,1900,9.606439373
250,DMA,1900,0.000349007866
251,DNK,1900,0.4066520243
252,DOM,1900,0.01633991373
253,DZA,1900,0.5086648243
254,ECU,1900,0.05208897723
255,EGY,1900,0.7631084699
256,ESP,1900,1.722040377
257,ETH,1900,0.2656032842
258,FIN,1900,0.2093767708
259,FRA,1900,5.626931921
260,GBR,1900,8.977588838
261,GHA,1900,0.06083635286
262,GRC,1900,0.3461228163
263,GTM,1900,0.04124638416
264,HKG,1900,0.006024509155
265,HND,1900,0.01586399391
266,HTI,1900,0.049495661
267,HUN,1900,0.8548081823
268,IDN,1900,1.674045394
269,IND,1900,6.642853361
270,IRL,1900,0.2949752785
271,IRN,1900,0.5474635325
272,IRQ,1900,0.2084747909
273,ITA,1900,3.729835375
274,JAM,1900,0.02385663439
275,JOR,1900,0.01623436906
276,JPN,1900,2.398060732
277,KHM,1900,0.06477602999
278,KOR,1900,0.2249756324
279,LAO,1900,0.02718827409
280,LBN,1900,0.04406981875
281,LBY,1900,0.03617174108
282,LKA,1900,0.2147743959
283,MAR,1900,0.2024686474
284,MDG,1900,0.1176962655
285,MEX,1900,0.8646413683
286,MMR,1900,0.2312956836
287,MNG,1900,0.01609038277
288,MOZ,1900,0.07632565337
289,MYS,1900,0.05074228088
290,NIC,1900,0.01516597818
291,NLD,1900,0.9023457313
292,NOR,1900,0.4011973298
293,NPL,1900,0.1201037052
294,NZL,1900,0.1673393842
295,OMN,1900,0.01627595937
296,PAN,1900,0.008344460796
297,PER,1900,0.1225835858
298,PHL,1900,0.1665037926
299,POL,1900,2.389157033
300,PRI,1900,0.03042714032
301,PRK,1900,0.1086753778
302,PRT,1900,0.3566897304
303,PRY,1900,0.01396031464
304,PSE,1900,0.0244596978
305,ROU,1900,0.3860677964
306,RUS,1900,12.43544104
307,SAU,1900,0.1690545378
308,SDN,1900,0.2341634337
309,SGP,1900,0.01751045089
310,SLV,1900,0.02430363867
311,SWE,1900,0.5275319372
